"MENU NAME","OPTION NUMBER","TYPE M/C/P","OPTION DESCRIPTION ENGLISH","OPTION DESCRIPTION FRENCH","OPTION DESCRIPTION SPANISH","COMMAND TO PROCESS OPTION","EFFECTIVE DATE OF OPTION","Hidden Needs Special Auth","Update Option =U","Usage Type R/I/M"
"APMENU03",3,"P","Outstanding Check Listing And Totals","Liste et totaux des chèques en circulation","Cheques en Transito y Totales","CALL APCKRCLSMU","2005-02-12","N","Y",""
"APMENU03",4,"P","Process Boatmen's Cancelled Checks","Traiter les chèques annulés de Boatmen's","Procesar cheques cancelados de Boatmen","CALL APCKRCBTMU","2005-02-12","N","Y",""
"APMENU03",999,"M","General Utilities Menu","Menu utilitaires généraux","Menu de Utilerías Generales","GUMENU01","2006-09-23","*","N",""
"APMENU04",1,"P","Enter RBNI Adjustments","Saisir les ajustements RBNI","Ajustes de RBNI","CALL PO0024MU","2005-02-12","N","Y",""
"APMENU04",2,"P","Print RBNI Status Report","Imprimer le rapport d'état RBNI","Reporte de estado de RBNI","CALL POB026MU","2005-02-12","N","N",""
"APMENU04",3,"P","RBNI Adjustment Report","Rapport d'ajustements RBNI","Reporte de ajustes de RBNI","CALL POB024MU","2005-02-12","N","N",""
"APMENU04",4,"P","Purge Closed RBNI Status Records","Purger les dossiers d'état RBNI fermés","Purgar registros de estado cerrados de RBNI","CALL POB034MU","2005-02-12","N","Y",""
"APMENU04",5,"P","RBNI Adjustments Inquiry","Requête sur les ajustements RBNI","Consulta de ajustes de RBNI","CALL PO0024IMU","2018-05-11","N","N","I"
"APMENU04",999,"M","General Utilities Menu","Menu utilitaires généraux","Menu de Utilerías Generales","GUMENU01","2006-09-23","*","N",""
"APMENU10",1,"P","Vendor Master File Listing","Liste de fichiers maîtres des fournisseurs","Listado Maestro de Proveedores","CALL AP1005MU","2005-02-12","N","N",""
"APMENU10",2,"P","Year To Date Vendor Purchases","Achats du fournisseur cumul de l'année","Compras por Proveedor acumulada al año","CALL APPURSMU","2005-02-12","N","N",""
"APMENU10",3,"P","Payables Aging Reports","Rapports de classement chronologique des comptes fournisseurs","Reportes de Antigüedad de CxC","CALL APAGSLMU","2005-02-12","N","N",""
"APMENU10",4,"P","A/P Distribution Report","Rapport de distribution des C/F","Reporte de Distribución de CxC","CALL APDISTMU","2005-02-12","N","N",""
"APMENU10",5,"P","Cash Disbursements Reports","Rapports des décaissements","Reporte de Distribución de Efectivo","CALL CDDISTMU","2005-02-12","N","N",""
"APMENU10",6,"C","Vendor Invoice History Report","Historique des factures du fournisseur","Reporte del Historial de Facturas de Proveedor","CALL APHIST","2005-02-12","N","N",""
"APMENU10",7,"P","Print Voided Check Register","Imprimer le registre des chèques annulés","Imprimir Registro de Cheques Cancelados","CALL APVDCREGMU","2005-02-12","N","N",""
"APMENU10",8,"P","Print Voided Invoice List","Imprimer la liste des factures annulées","Imprimir Listado de Facturas Canceladas","CALL APVDILSTMU","2005-02-12","N","N",""
"APMENU10",9,"P","Print Vendor Labels","Imprimer les étiquettes du fournisseur","Imprimir Etiquetas de Proveedor","CALL APVLSLMU","2005-02-12","N","N",""
"APMENU10",10,"P","AR Traffic Accrual Report","Rapport sur l'acheminement des frais courus CC","Reporte Acumulado de AR Traffic","CALL ART013MU","2005-02-12","N","N",""
"APMENU10",11,"P","AR Traffic Adjustment Report","Rapport d'ajustement de l'acheminement CC","Reporte de Ajustes de AR Traffic","CALL ART014MU","2005-02-12","N","N",""
"APMENU10",12,"P","Trade Vendor Purge Prep Report","Purger rapport préparatoire du fournisseur externe","Trade Vendor Purge Prep Report","CALL PO0066RMU","2005-02-12","N","N",""
"APMENU10",13,"C","Reprint Vendor Electronic Invoice","Réimprimer la facture électronique du fournisseur","Reimprimir Factura Electrónica del Proveedor","CALL EDIVIN15","2007-08-11","N","N",""
"APMENU10",14,"P","A/P Check Signature Capture","Capture de signatures de chèques C/F","A/P Check Signature Capture","CALL APCHKSIGMU","2008-03-23","N","N",""
"APMENU10",999,"M","General Utilities Menu","Menu utilitaires généraux","Menu de Utilerías Generales","GUMENU01","2006-09-23","*","N",""
"APMENU30",1,"P","Remove Inactive Vendor Records","Supprimer les dossiers de fournisseurs inactifs","Remover Registros de Proveedores Inactivos","CALL APVNDPRGMU","2005-02-12","N","Y",""
"APMENU30",2,"P","Purge A/P Transaction Files","Purger les fichiers transactions C/F","Purgar Archivo de Transacciones de CxC","CALL APPRG1MU","2005-02-12","N","Y",""
"APMENU30",3,"C","Convert Vendors Region/Co","Convertir région/Co fournisseur","Convert Vendors Region/Co","CALL PGM(CVVN01)","2009-09-12","N","Y",""
"APMENU30",999,"M","General Utilities Menu","Menu utilitaires généraux","Menu de Utilerías Generales","GUMENU01","2006-09-23","*","N",""
"APMENU31",1,"C","Control File Maintenance or List","Mise à jour ou liste de fichiers de contrôle","Mtto o Listado del Archivo de Control","CALL ASCTLMNTMU","2005-02-12","N","Y",""
"APMENU31",2,"C","Vendor Payment Terms Inquiry","Requête sur les modalités de paiement fournisseur","Consulta de los Términos de Pago a Proveedores","CALL IQ0A15","2005-02-12","N","N",""
"APMENU31",3,"C","RBNI Adjustment Codes Inquiry","Requête sur les codes d'ajustement RBNI","Consulta de los Ajustes de RBNI","CALL PGM(PO0025) PARM('I')","2005-02-12","N","N",""
"APMENU31",4,"C","Maintain Cash Disbursements Inter-Company Accounts","Mettre à jour les décaissements des comptes interentreprises","Mtto de Cuentas Inter compañías para Distribución de Efectivo","CALL APINTR","2005-02-12","N","Y",""
"APMENU31",5,"C","A/P System Options","Options du système C/F","Opciones de Sistema de CxC","CALL APSYSOPTCL","2005-02-12","N","Y",""
"APMENU31",6,"C","CR/DB Memo Reason Code Inquiry","Requête sur le code de motif de la note CR/DB","Consulta de Códigos para Notas de Crédito y Debito","CALL IQ0A05","2005-02-12","N","N",""
"APMENU31",999,"M","General Utilities Menu","Menu utilitaires généraux","Menu de Utilerías Generales","GUMENU01","2006-09-23","*","N",""
"APMENU40",1,"C","Maintain Company Name/Address & Federal I.D.# For 1099","Mettre à jour noms/adresses et identifiants fédéraux des sociétés-1099","Mtto de Nombre de Cia, Dirección y ID Federal de 1099","CALL AP9ADR","2005-02-12","N","Y",""
"APMENU40",2,"P","Select Vendor Records For 1099 Forms","Sélectionner les dossiers fournisseur pour les formulaires 1099","Seleccionar Registros de Proveedores para la forma 1099","CALL AP9DATMU","2005-02-12","N","Y",""
"APMENU40",3,"P","Print 1099 Detail Listing","Imprimer la liste détaillée 1099","Imprimir Listado detallado de 1099","CALL AP1099LDMU","2005-02-12","N","N",""
"APMENU40",4,"P","Print 1099 Summary Listing","Imprimer la liste sommaire 1099","Imprimir Listado Resumido de 1099","CALL AP1099LSMU","2005-02-12","N","N",""
"APMENU40",5,"P","Print 1099 Forms","Imprimer les formulaires 1099","Imprimir Formas 1099","CALL AP1099MU","2005-02-12","N","N",""
"APMENU40",6,"P","Print 1099 Detail Distribution By Vendor Or Type Code","Imprimer les détails de distribution 1099 selon fournisseur ou code ty","Imprimir Detalle de Distribución por Prov.. O Tipo 1099","CALL AP1001MU","2005-02-12","N","N",""
"APMENU40",7,"C","Print Trade Vendor 1099 Report","Imprimer le rapport 1099 fournisseur externe","Print Trade Vendor 1099 Report","CALL AP1099RM1","2010-09-04","N","N",""
"APMENU40",999,"M","General Utilities Menu","Menu utilitaires généraux","Menu de Utilerías Generales","GUMENU01","2006-09-23","*","N",""
"BIMENU",1,"P","Clear Files by Frequency","Effacer les fichiers selon la fréquence","Limpiar Archivos por Frecuencia.","CALL BIMOPT01MU","2004-05-08","N","Y",""
"BIMENU",2,"P","Refresh Files for a Company by Frequency","Rafraîchir les fichiers d'une entreprise selon la fréquence","Refrescar Archivos por Compañía por Frecuencia","CALL BIMOPT02MU","2004-05-08","N","Y",""
"BIMENU",3,"P","Refresh a File for a Company","Rafraîchir un fichier d'une entreprise","Refrescar un Archivo por Compañía","CALL BIMOPT03MU","2004-05-08","N","Y",""
"BIMENU",4,"P","Refresh a File for all Companies","Rafraîchir un fichier de toutes les entreprises","Refrescar un Archivo para todas las Compañías","CALL BIMOPT04MU","2004-05-08","N","Y",""
"BIMENU",5,"P","Refresh Files for a Region by Frequency","Rafraîchir les fichiers d'une région par fréquence","Refrescar un Archivo para una Región por Frecuencia","CALL BIMOPT05MU","2004-05-08","N","Y",""
"BIMENU",6,"P","Refresh Files for all Companies by Frequency","Rafraîchir les fichiers de toutes les entreprise par fréquence","Refrescar Archivos para todas las Compañías por Frecuencia","CALL BIMOPT06MU","2004-05-08","N","Y",""
"BIMENU",7,"C","Maintain/Refresh Journal Files","Mettre à jour/Rafraîchir les fichiers du journal","Mantener - Refrescar Archivos de Registro","CALL BIJRN03 'U'","2004-04-03","N","Y",""
"BIMENU",10,"C","Maintain BI Data Warehouse Refresh File","Mettre à jour l'entrepôt des données d'intell d'affaires Rafraîchir le","Mantener Archivo para Refrescar Datos de Bodega de BI","CALL BIMOPT10MU","2004-05-08","N","Y",""
"BIMENU",12,"C","Journal Files Inquiry","Requête sur les fichiers du journal","Consulta de Archivos de Registro","CALL BIJRN03 'I'","2004-04-03","N","N",""
"BIMENU",999,"M","General Utilities Menu","Menu utilitaires généraux","Menu de Utilerías Generales","GUMENU01","2006-09-23","*","N",""
"CALCBAN",1,"C","AR Traffic Bid Analyzer module","AR Traffic Bid Analyzer module","AR Traffic Bid Analyzer module","ADDLIBLE CALCBAN","2018-01-19","*","Y",""
"CALCPAK",1,"C","AR Traffic Library Option","Option de bibliothèque d'acheminement CC","Opción de Librería de AR Traffic","ADDLIBLE CALCPAK","2005-09-12","*","Y",""
"CALCPAK",999,"M","General Utilities Menu","Menu utilitaires généraux","Menu de Utilerías Generales","GUMENU01","2006-09-23","*","N",""
"CALCRATE",1,"C","AR Traffic Rating Library Option","Option de bibliothèque cote d'acheminement CC","Opción de Calificación de Librería de AR Traffic","ADDLIBLE CALCRATE","2005-09-12","*","Y",""
"CALCRATE",999,"M","General Utilities Menu","Menu utilitaires généraux","Menu de Utilerías Generales","GUMENU01","2006-09-23","*","N",""
"CALCREPT",1,"C","AR Traffic Reporting Library Option","Option de bibliothèque de rapports d'acheminement CC","Opción de Reporte de Librería de AR Traffic","ADDLIBLE CALCREPT","2005-09-12","","N",""
"CALCREPT",999,"M","General Utilities Menu","Menu utilitaires généraux","Menu de Utilerías Generales","GUMENU01","2006-09-23","*","N",""
"CALCRPTS",1,"C","AR Traffic Library","Bibliothèque d'acheminement CC","Librería de AR Traffic","ADDLIBLE CALCRPTS","2004-11-06","*","Y",""
"CALCRPTS",999,"M","General Utilities Menu","Menu utilitaires généraux","Menu de Utilerías Generales","GUMENU01","2006-09-23","*","N",""
"CAMENU",1,"C","Positive Pay Accounts and Eligibility Maintenance","Comptes de paye actualisée et mise à jour admissibilité","Positive Pay Accounts and Eligibility Maintenance","CALL DS0800A PARM('U')","2008-08-23","N","Y",""
"CAMENU",2,"C","Credit Card/Check Processing ID Maintenance","Mise à jour ID traitement carte de crédit/chèque","Credit Card/Check Processing ID Maintenance","CALL PGM(CC0103)","2012-10-12","N","Y",""
"CAMENU",3,"C","Credit Card Settlement Review","Examen des règlements par carte de crédit","Credit Card Settlement Review","CALL CC0111CL","2008-10-12","N","Y",""
"CAMENU",5,"C","Add-On Charge Code Maintenance","Mise à jour du code des frais supplémentaires","Add-On Charge Code Maintenance","CALL PGM(DS0125)","2009-10-18","N","Y",""
"CAMENU",6,"C","Corporate Order Term Codes","Codes des modalités de commandes d'entreprise","Corporate Order Term Codes","CALL PGM(DS0107)","2009-10-18","N","Y",""
"CAMENU",7,"C","G/L Major Account Maintenance","Mise à jour clients importants G/L","G/L Major Account Maintenance","CALL PGM(GL0100)","2009-10-15","N","Y",""
"CAMENU",8,"C","P & L Minor Account Maintenance","Mise à jour clients moins importants - profits et pertes","P & L Minor Account Maintenance","CALL PGM(GL0101)","2009-10-15","N","Y",""
"CAMENU",9,"C","Balance Sheet Account Maintenance","Mise à jour compte de bilan","Balance Sheet Account Maintenance","CALL PGM(GL0102) PARM('U')","2009-10-15","N","Y",""
"CAMENU",10,"C","Balance Sheet Account Inquiry","Requête sur le compte de bilan","Balance Sheet Account Inquiry","CALL PGM(GL0102) PARM('I')","2009-10-15","N","N",""
"CAMENU",11,"C","Vendor Codes Term Maintenance","Mise à jour modalités codes fournisseur","Vendor Codes Term Maintenance","CALL PGM(APMA15)","2009-11-14","N","Y",""
"CAMENU",12,"C","Customer Credit Check Codes Maintenance","Mise à jour codes vérification de crédit du client","Customer Credit Check Codes Maintenance","CALL PGM(DS0109)","2009-11-14","N","Y",""
"CAMENU",13,"C","Hold Order Reason Codes Maintenance","Mise à jour codes raison du bon d'arrêt de production","Hold Order Reason Codes Maintenance","CALL PGM(DS0240)","2009-11-14","N","Y",""
"CAMENU",14,"C","A/P Credit/Debit Terms Maintenance","Mise à jour modalités crédit/débit C/F","A/P Credit/Debit Terms Maintenance","CALL PGM(APMA05)","2009-11-14","N","Y",""
"CAMENU",15,"C","A/R Adjustment Code Maintenance","Mise à jour codes d'ajustement C/C","A/R Adjustment Code Maintenance","CALL PGM(DS0226)","2009-11-14","N","Y",""
"CAMENU",16,"C","A/R Credit Memo Reason Code Maintenance","Mise à jour codes raison note de crédit C/C","A/R Credit Memo Reason Code Maintenance","CALL PGM(DS0128)","2009-11-14","N","Y",""
"CAMENU",17,"C","P.O. Add On Charge Maintenance","Mise à jour frais supplémentaires C.A.","P.O. Add On Charge Maintenance","CALL DS0270 PARM('M')","2009-11-14","N","Y",""
"CAMENU",18,"C","State Code Maintenance","Mise à jour codes d'état","State Code Maintenance","CALL PGM(DS0205)","2009-11-14","N","Y",""
"CAMENU",20,"C","Rebate Adjustment Codes Maintenance","Mise à jour codes ajustement ristournes","Rebate Adjustment Codes Maintenance","CALL PGM(RA0002) PARM('U')","2009-11-14","N","Y",""
"CAMENU",21,"C","Postive Pay Exception Report Outque","OutQue rapports d'exceptions de paye actualisée","Postive Pay Exception Report Outque","CALL PGM(AP0110CL)","2009-11-14","N","Y",""
"CAMENU",22,"C","RBND G/L Account Maintenance","Mise à jour comptes G/L RBND","RBND G/L Account Maintenance","CALL PGM(CC0105) PARM('M')","2009-11-14","N","Y",""
"CAMENU",23,"C","Inventory Adjustment Codes","Codes d'ajustement des stocks","Inventory Adjustment Codes","CALL PGM(IN0004) PARM('U')","2009-12-26","N","Y",""
"CAMENU",24,"C","RBNI Adjustment Code Maintenance","Mise à jour des codes d'ajustement RBNI","RBNI Adjustment Code Maintenance","CALL PGM(PO0025) PARM('U')","2009-12-26","N","Y",""
"CAMENU",25,"M","Shared Services Menu","Menu services communs","Shared Services Menu","CAMENU25","2010-06-05","N","N",""
"CAMENU",30,"C","C2FO Vendor Management Maintenance","Maintenance de la gestion des fournisseurs C2FO","Mantenimiento de gestión de proveedores C2FO","CALL PGM(C2VN01) PARM('M')","2022-06-03","N","U","M"
"CAMENU",31,"C","C2FO Vendor Management Inquiry","Enquête sur la gestion des fournisseurs C2FO","Consulta de gestión de proveedores C2FO","CALL PGM(C2VN01) PARM('I')","2022-06-03","N","N","I"
"CAMENU",38,"C","Maintain Corporate Accounting Weeks","Maintenir les semaines de comptabilité dentreprise","Mantener semanas de contabilidad corporativa","CALL PGM(MACWEK)","2024-01-26","N","Y",""
"CAMENU",40,"C","Corporate Accounting Period Calendar Maintenance","Corporate Accounting Period Calendar Maintenance","Corporate Accounting Period Calendar Maintenance","CALL PGM(CAP001)","2021-10-08","N","Y","M"
"CAMENU",41,"P","Push Current Periods to Regions","Push Current Periods to Regions","Push Current Periods to Regions","CALL PGM(CAP002MU)","2021-10-08","N","N",""
"CAMENU",50,"C","Positive Pay Accounts and Eligibility Inquiry","Requête sur les comptes paie actualisée et admissibilité","Positive Pay Accounts and Eligibility Inquiry","CALL DS0800A PARM('I')","2008-08-23","N","N",""
"CAMENU",51,"C","Tax Comparison Report - Invoice to Vertex Quote","Tax Comparison Report - Invoice to Vertex Quote","Tax Comparison Report - Invoice to Vertex Quote","CALL SA0020 PARM('N')","2022-02-25","N","N",""
"CAMENU",52,"C","Vertex Live System Test","Vertex Live System Test","Vertex Live System Test","CALL SA0020 PARM('S')","2022-05-06","N","N",""
"CAMENU",53,"P","Item Tax Categories Template Request","Item Tax Categories Template Request","Item Tax Categories Template Request","CALL TAXCTMU","2022-08-26","N","N",""
"CAMENU",54,"P","Item Tax Categories Spreadsheet Upload","Item Tax Categories Spreadsheet Upload","Item Tax Categories Spreadsheet Upload","CALL TAXCTUPCL","2022-08-26","N","N",""
"CAMENU",60,"M","Corporate Accounting Report Menu","Menu de rapports comptabilité générale","Corporate Accounting Report Menu","CAMENUR","2010-07-17","N","N",""
"CAMENUR",1,"P","Multi-Co Intercompany Balancing Report","Rapport de vérification interentreprises multiples","Multi-Co Intercompany Balancing Report","CALL CA0010MU","2010-07-17","N","N",""
"CAMENUR",2,"P","Multi-Co Intercompany Detail Review Report","Rapport d'examen des détails interentreprises multiples","Multi-Co Intercompany Detail Review Report","CALL CA0011MU","2010-07-17","N","N",""
"CAMENUR",3,"C","GL Close Files Inquiry","Requête sur la fermeture de fichiers GL","GL Close Files Inquiry","CALL GLC009","2014-08-25","N","Y",""
"CAMENUR",4,"P","Taxable Bag Report","Taxable Bag Report","Taxable Bag Report","CALL TB0100MU","2017-03-10","N","Y","M"
"CAMENUR",5,"P","Tax Category Items Report","Tax Category Items Report","Tax Category Items Report","CALL TXCATITM","2022-03-11","N","Y","M"
"CAMENUR",6,"C","Vertex Address Error Report","Vertex Address Error Report","Vertex Address Error Report","CALL PGM(VTX012CL) PARM('M' ' ' 'Y')","2022-03-18","N","N","R"
"CAMENUR",7,"P","Company Delivery Address Spreadsheet","Company Delivery Address Spreadsheet","Company Delivery Address Spreadsheet","CALL DELIVADR","2023-01-06","N","Y","M"
"CAMENUR",8,"P","Company Customer List for Tax Class","Company Customer List for Tax Class","Company Customer List for Tax Class","CALL APPROPS","2023-01-05","N","N",""
"CAMENUR",60,"M","Corporate Accounting Menu","Menu comptabilité générale","Corporate Accounting Menu","CAMENU","2010-07-17","N","N",""
"CAMENU25",1,"C","Corporate Expense Vendor Master Maintenance","Mise à jour fichier maître fournisseur charges de l'entreprise","Corporate Expense Vendor Master Maintenance","CALL BCV020 PARM('U' '      ' 'CORP     ')","2010-06-05","N","Y",""
"CAMENU25",2,"C","Corporate Expense Vendor Master Inquiry","Requête sur le fichier maître fournisseur charges de l'entreprise","Corporate Expense Vendor Master Inquiry","CALL BCV020 PARM('I' '      ' 'CORP     ')","2010-06-05","N","N",""
"CAMENU25",3,"C","Corporate Expense Vendor Transfer","Transfert de fournisseurs charges de l'entreprise","Corporate Expense Vendor Transfer","CALL BCV029","2010-07-10","N","Y",""
"CAMENU25",4,"C","Vendor Invoice Inquiry","Requête sur les factures fournisseur","Vendor Invoice Inquiry","CALL APINQ  PARM('      ' '          ' ' ' 'Y' '00')","2011-04-23","N","N",""
"CAMENU25",5,"C","Corporate Trade Vendor Bank/Remit Info Maintenance","Mise à jour info banque/ristourne fournisseurs externes de l'entrepris","Corporate Trade Vendor Bank/Remit Info Maintenance","CALL BCV001RMU PARM('M' 'I')","2010-11-06","N","Y",""
"CAMENU25",6,"C","Corporate Trade Vendor Bank/Remit Info Inquiry","Requête sur les info bancaire/ristourne fournisseurs externes entrepri","Corporate Trade Vendor Bank/Remit Info Inquiry","CALL BCV001RMU PARM('B' 'I')","2010-11-06","N","N",""
"CAMENU25",7,"P","Remove Inactive Expense Vendor Records","Supprimer dossiers inactifs charges fournisseurs","Remove Inactive Expense Vendor Records","CALL BCV038MU","2011-04-16","N","Y",""
"CAMENU25",13,"P","Scan Single Page AP Invoices","Numériser une seule page de factures CF","Scan Single Page AP Invoices","CALL BRW004MUTD","2010-06-12","N","Y",""
"CAMENU25",14,"P","Scan Multi Page AP Invoices","Numériser pages multiples de factures CF","Scan Multi Page AP Invoices","call BRW005MUTD","2010-06-12","N","Y",""
"CAMENU25",17,"C","Inquire AP Trade Invoices","Requête sur les factures commerciales CF","Inquire AP Trade Invoices","call doc003sys '5'","2010-06-12","N","N",""
"CAMENU25",18,"C","Inquire AP Expenses","Requête sur les charges CF","Inquire AP Expenses","call doc003sys '6'","2010-06-12","N","N",""
"CAMENU25",19,"P","Upload and Export Images","Téléverser et exporter images","Upload and Export Images","CALL BRW006MU","2010-09-18","N","Y",""
"CAMENU25",20,"P","Print Separator Sheets","Imprimer feuilles de séparation","Print Separator Sheets","CALL BAR010CL","2010-06-26","N","N",""
"CAMENU25",21,"P","Import Images","Importer Images","Import Images","CALL BRW014MU","2010-09-18","N","Y",""
